Atração,País,Cidade,Localização,Distância,Moeda Local e Símbolo,Hora Local
Carta de Foral de Oliveira do Bairro,Portugal,Oliveira do Bairro,"40.51281140033429, -8.495672399999998",1.469 km,Euro €,10:58
Bordalo II - Cegonha,Portugal,Oliveira do Bairro,"40.51308820033433, -8.491445299999999",1.624 km,Euro €,10:58
Hotel Paraíso,Portugal,Oliveira do Bairro,"40.514966300334564, -8.4926455",1.775 km,Euro €,10:58
Baloiço dos Pinheiros Mansos,Portugal,Oliveira do Bairro,"40.50900000033383, -8.482139000000002",1.814 km,Euro €,10:58
Cruzeiro,Portugal,Anadia,"40.49185090033167, -8.4732614",2.441 km,Euro €,10:58
Lagoa do Paúl,Portugal,Anadia,"40.47532080032959, -8.5019442",2.745 km,Euro €,10:58
Estalagem de Sangalhos,Portugal,Anadia,"40.47735924925151, -8.459659533064459",4.208 km,Euro €,10:58
Pensão Parreira,Portugal,Águeda,"40.50869410033378, -8.4474195",4.56 km,Euro €,10:58
Wayside shrine,Portugal,Anadia,"40.475143800329555, -8.453728800000002",4.797 km,Euro €,10:58
Cristo Rei,Portugal,Oliveira do Bairro,"40.543203500338095, -8.5100526",4.873 km,Euro €,10:58
