Movie Title,Year,Length (min),Av. Rating (0-5)
All About Eve,1950,79,1.7804
Annie Get Your Gun,1950,81,0.2153
Born Yesterday,1950,87,1.8627
Broken Arrow,1950,60,2.682
Cheaper by the Dozen,1950,65,0.7828
Cinderella,1950,72,1.4546
D.O.A.,1950,71,0.5188
Father of the Bride,1950,75,1.0615
Harvey,1950,71,2.954
In a Lonely Place,1950,69,2.6161
King Solomon's Mines,1950,90,1.9593
Last Holiday,1950,68,0.9562
Rio Grande,1950,86,0.2312
Stage Fright,1950,69,0.4324
The Wooden Horse,1950,76,1.9782
Treasure Island,1950,64,1.0118
Winchester '73,1950,67,0.1499
Alice in Wonderland,1951,72,1.7985
Captain Horatio Hornblower R.N.,1951,86,0.3731
Happy Go Lovely,1951,71,1.451
People Will Talk,1951,65,0.7756
Quo Vadis,1951,68,1.4945
Royal Wedding,1951,72,0.5956
Show Boat,1951,77,0.846
Strangers on a Train,1951,68,1.7496
When Worlds Collide,1951,85,0.2206
High Noon,1952,64,1.1772
Ikiru,1952,67,0.2107
Limelight,1952,71,1.8377
Monkey Business,1952,84,1.7303
Pat and Mike,1952,86,1.8266
Scaramouche,1952,85,0.1745
Singin' in the Rain,1952,64,1.6145
The Importance of Being Earnest,1952,65,3.0443
The Little World of Don Camillo,1952,80,0.3232
Umberto D.,1952,71,2.8817
Beat the Devil,1953,70,0.8891
Calamity Jane,1953,84,0.8412
Duck Amuck,1953,91,2.1057
From Here to Eternity,1953,74,2.074
Gentlemen Prefer Blondes,1953,66,2.6838
Glen or Glenda,1953,88,1.9899
House of Wax,1953,68,2.6348
How to Marry a Millionaire,1953,78,1.7184
I Confess,1953,68,0.7298
It Came from Outer Space,1953,78,0.4665
Kiss Me Kate,1953,69,1.8043
Mogambo,1953,71,2.0503
Niagara,1953,81,1.2383
Peter Pan,1953,84,2.8368
Pickup on South Street,1953,87,1.369
Roman Holiday,1953,84,0.8901
Shane,1953,69,0.6455
Stalag 17,1953,89,1.9927
The Return of Don Camillo,1953,86,0.8684
The Wild One,1953,66,1.7028
Titanic,1953,66,1.944
Animal Farm,1954,68,0.7527
Brigadoon,1954,84,0.5713
Dial M for Murder,1954,78,0.8689
Executive Suite,1954,77,2.2391
On the Waterfront,1954,76,2.9228
Rear Window,1954,66,2.6554
Sabrina,1954,77,2.3087
Seven Brides for Seven Brothers,1954,80,3.0707
Suddenly,1954,83,0.4987
Them!,1954,64,1.7126
White Christmas,1954,80,0.2808
All That Heaven Allows,1955,75,0.4711
Bad Day at Black Rock,1955,79,0.2777
Blackboard Jungle,1955,82,3.0881
Bob le Flambeur,1955,74,2.2002
Confidential Report,1955,68,1.1589
East of Eden,1955,83,0.2307
Guys and Dolls,1955,63,3.1005
Killer's Kiss,1955,63,2.0011
Kiss Me Deadly,1955,82,1.8068
Lady and the Tramp,1955,83,0.7479
Lola Montès,1955,86,0.311
Love Is a Many-Splendored Thing,1955,91,2.0587
Marty,1955,80,2.9587
Mister Roberts,1955,66,0.8698
Oklahoma!,1955,91,0.8203
Picnic,1955,92,1.4947
Rebel Without a Cause,1955,82,2.3127
Tarantula,1955,92,2.5456
This Island Earth,1955,83,1.8226
To Catch a Thief,1955,81,2.1685
We're No Angels,1955,74,2.8994
Anastasia,1956,77,2.5534
Around the World in 80 Days,1956,80,0.2015
Earth vs. the Flying Saucers,1956,78,1.5105
Forbidden Planet,1956,65,2.759
Friendly Persuasion,1956,83,0.6086
Giant,1956,71,1.8703
High Society,1956,66,2.1193
Indestructible Man,1956,70,2.3959
Invasion of the Body Snatchers,1956,85,3.1415
Love Me Tender,1956,68,1.6949
Lust for Life,1956,78,1.5529
Moby Dick,1956,88,0.9219
The Beast of Hollow Mountain,1956,79,0.3252
War and Peace,1956,75,2.149
While the City Sleeps,1956,64,2.8037
Written on the Wind,1956,78,0.7388
12 Angry Men,1957,71,1.8963
20 Million Miles to Earth,1957,93,2.8787
3:10 to Yuma,1957,75,2.0468
Attack of the Crab Monsters,1957,77,1.9815
Beginning of the End,1957,71,2.2962
Designing Woman,1957,84,0.3056
Desk Set,1957,89,1.2095
Funny Face,1957,85,0.9881
La cravate,1957,83,2.8217
Love in the Afternoon,1957,87,2.1429
My Man Godfrey,1957,87,1.7141
Old Yeller,1957,93,1.6707
Paths of Glory,1957,70,1.6746
Pekka ja Pätkä salapoliiseina,1957,86,1.6844
Peyton Place,1957,72,1.2921
Silk Stockings,1957,92,0.7844
Sweet Smell of Success,1957,64,1.079
Witness for the Prosecution,1957,67,1.9743
Attack of the 50 Foot Woman,1958,82,2.8905
Attack of the Puppet People,1958,76,1.8825
Auntie Mame,1958,88,3.0818
Cat on a Hot Tin Roof,1958,73,1.0026
Damn Yankees!,1958,72,2.9971
Gigi,1958,71,0.855
Houseboat,1958,70,0.3395
I Want to Live!,1958,90,1.4847
Indiscreet,1958,94,2.6053
Pekka ja Pätkä Suezilla,1958,66,1.2099
Run Silent Run Deep,1958,75,1.6745
South Pacific,1958,85,0.2677
Teacher's Pet,1958,79,0.9267
The Magician,1958,68,0.5594
Touch of Evil,1958,84,3.2058
Vertigo,1958,67,0.2945
Anatomy of a Murder,1959,78,1.3461
Attack of the Giant Leeches,1959,88,2.0472
Ben-Hur,1959,66,3.1173
Darby O'Gill and the Little People,1959,85,2.4736
Gidget,1959,94,2.2725
Hiroshima Mon Amour,1959,93,3.0848
Imitation of Life,1959,92,1.2391
Journey to the Center of the Earth,1959,69,1.0063
North by Northwest,1959,94,2.1615
On the Beach,1959,91,2.4363
Operation Petticoat,1959,77,2.1626
Pickpocket,1959,94,0.6463
Pillow Talk,1959,94,2.5461
Plan 9 from Outer Space,1959,81,1.528
Pork Chop Hill,1959,83,2.3235
Rio Bravo,1959,65,2.4381
Room at the Top,1959,70,2.3614
Sleeping Beauty,1959,80,1.5318
Some Like It Hot,1959,79,2.8896
The Diary of Anne Frank,1959,74,2.1294
13 Ghosts,1960,80,1.145
Butterfield 8,1960,94,1.9029
Elmer Gantry,1960,82,0.5205
Exodus,1960,87,2.8841
From the Terrace,1960,72,2.7708
Inherit the Wind,1960,66,1.0771
Peeping Tom,1960,78,0.3699
Peter Pan,1960,95,2.5747
Please Don't Eat the Daisies,1960,95,2.4801
Pollyanna,1960,73,1.1556
Psycho,1960,68,2.3059
Spartacus,1960,94,1.709
Swiss Family Robinson,1960,86,2.7414
Tormented,1960,89,2.8934
Village of the Damned,1960,75,1.3929
Zazie dans le métro,1960,69,0.3785
Babes in Toyland,1961,89,0.8258
Bootleggers,1961,66,3.0759
Breakfast at Tiffany's,1961,81,1.5482
Der Herr Karl,1961,76,2.8244
El Cid,1961,84,2.7817
Judgment at Nuremberg,1961,94,0.4616
King of Kings,1961,83,1.2659
Lover Come Back,1961,95,2.2905
One-Eyed Jacks,1961,84,2.6467
Pit and the Pendulum,1961,66,0.6113
Pocketful of Miracles,1961,77,2.394
Reptilicus,1961,77,3.1557
Splendor in the Grass,1961,92,1.4235
The Girls,1961,76,1.9613
Viridiana,1961,80,2.3887
Voyage to the Bottom of the Sea,1961,95,0.7704
West Side Story,1961,88,2.0854
Yojimbo,1961,74,2.325
Advise and Consent,1962,71,3.0745
Birdman of Alcatraz,1962,89,0.8291
Boccaccio '70,1962,79,1.0801
Cape Fear,1962,95,2.7583
Carnival of Souls,1962,69,1.9603
Carry on Cruising,1962,79,1.6588
Days of Wine and Roses,1962,75,0.7893
Dr. No,1962,76,1.5808
Girls! Girls! Girls!,1962,77,2.8412
Gypsy,1962,86,1.9124
Hatari!,1962,68,0.5462
In Search of the Castaways,1962,95,1.5378
Lawrence of Arabia,1962,87,1.0863
Lolita,1962,96,1.1654
Lonely Are the Brave,1962,84,2.4425
Long Day's Journey Into Night,1962,71,3.236
Mondo Cane,1962,70,2.9467
Mutiny on the Bounty,1962,75,1.9411
Requiem for a Heavyweight,1962,71,2.3491
Ride the High Country,1962,84,1.0556
Ring of Terror,1962,83,2.6881
Sweet Bird of Youth,1962,80,2.7473
That Touch of Mink,1962,95,2.0923
To Kill a Mockingbird,1962,89,2.1026
What Ever Happened to Baby Jane?,1962,78,1.0517
Billy Liar,1963,94,1.8381
Blood Feast,1963,89,1.1115
Carry on Cabby,1963,88,1.697
Charade,1963,94,0.6332
Children of the Damned,1963,75,2.4866
From Russia with Love,1963,87,1.0662
Hud,1963,86,2.7578
Irma la Douce,1963,75,0.808
Jason and the Argonauts,1963,68,2.3762
Lilies of the Field,1963,72,0.9503
Lord of the Flies,1963,79,1.6683
Ro.Go.Pa.G.,1963,70,1.1463
Shock Corridor,1963,83,1.9153
Son of Flubber,1963,91,1.9199
Tom Jones,1963,71,0.9343
7 Faces of Dr. Lao,1964,83,2.4758
Bikini Beach,1964,67,0.7338
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,74,0.7755
Fail-Safe,1964,68,1.3507
Father Goose,1964,80,2.2338
Goldfinger,1964,93,3.2174
Goodbye Charlie,1964,72,3.1244
Hamlet,1964,79,1.5087
Male Hunt,1964,77,0.4737
Marnie,1964,77,2.1282
Mary Poppins,1964,80,0.8789
My Fair Lady,1964,72,1.8433
Onibaba,1964,88,0.4667
Robinson Crusoe on Mars,1964,74,1.5289
Send Me No Flowers,1964,92,1.7839
Seven Days in May,1964,93,2.6062
Seven Up!,1964,68,1.932
The Monkey King,1964,97,2.268
Topkapi,1964,85,0.904
Zulu,1964,80,1.1601
Beach Blanket Bingo,1965,70,0.7431
Boniface's Holiday,1965,85,1.6992
Bunny Lake Is Missing,1965,86,1.5268
Cat Ballou,1965,68,3.1637
Doctor Zhivago,1965,91,1.5772
Don Camillo in Moscow,1965,68,1.6194
Dr. Goldfoot and the Bikini Machine,1965,96,0.9656
Dr. Terror's House of Horrors,1965,87,2.4972
Faster Pussycat! Kill! Kill!,1965,75,3.1353
Help!,1965,81,1.6401
I Saw What You Did,1965,89,0.7195
Major Dundee,1965,68,2.8879
Obsession,1965,89,2.1086
Operation 'Y' & Other Shurik's Adventures,1965,71,0.5648
Our Man Flint,1965,68,2.9927
Pierrot le fou,1965,78,2.6868
Repulsion,1965,87,1.6628
Shenandoah,1965,81,1.6323
Ship of Fools,1965,88,2.1216
That Darn Cat!,1965,80,2.9824
Those Magnificent Men in Their Flying Machines,1965,83,3.2629
Thunderball,1965,84,3.2918
Von Ryan's Express,1965,81,1.3795
Vovka in the Kingdom of Far Far Away,1965,68,1.39
Alfie,1966,73,2.7111
Alvarez Kelly,1966,80,0.8683
Au Hasard Balthazar,1966,90,3.3028
Batman,1966,87,3.4509
Born Free,1966,71,1.8123
Carry On Don't Lose Your Head,1966,72,3.4355
Fahrenheit 451,1966,90,2.0394
Fantastic Voyage,1966,93,2.4598
Frankie and Johnny,1966,88,2.5829
Georgy Girl,1966,70,2.7784
